GO,Aeropyrum_pernix.CDS.fa.OUTPUT.daa.m8,Aquifex_aeolicus.CDS.fa.OUTPUT.daa.m8,Archaeoglobus_fulgidus.CDS.fa.OUTPUT.daa.m8,Hyperthermus_butyilicus.CDS.fa.OUTPUT.daa.m8,Methanococcus_jannaschii.CDS.fa.OUTPUT.daa.m8,Methanopyrus_kandleri.CDS.fa.OUTPUT.daa.m8,Methanothermus_fervidus.CDS.fa.OUTPUT.daa.m8,Pyrococcus_feriosus.CDS.fa.OUTPUT.daa.m8,Pyrodicitium_abyssi.CDS.fa.OUTPUT.daa.m8,Pyrolobus_fumarii.CDS.fa.OUTPUT.daa.m8,Sulfolobus_acidocaldarius.CDS.fa.OUTPUT.daa.m8,Thermocrinis_minervae.CDS.fa.OUTPUT.daa.m8,Thermocrinis_ruber.CDS.fa.OUTPUT.daa.m8,Thermotoga_maritima.CDS.fa.OUTPUT.daa.m8
 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113],0,1,0,0,1,0,0,0,0,0,0,0,0,1
 tRNA guanine ribose methylation [GO:0002938],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 S-adenosylmethionine cycle [GO:0033353],0,1,0,0,1,0,0,0,0,0,0,0,0,0
 tryptophan catabolic process to kynurenine [GO:0019441],0,0,1,1,1,0,0,0,0,0,3,0,0,1
cobalamin-transporting ATPase activity [GO:0015420],0,0,0,0,0,0,1,0,0,0,1,0,0,0
tRNA (m1A) methyltransferase complex [GO:0031515],1,1,1,1,1,1,1,1,1,1,1,0,1,1
cystathionine gamma-lyase activity [GO:0004123],1,0,0,0,0,0,0,0,0,0,0,0,0,0
2-oxoglutarate synthase activity [GO:0047553],4,0,3,0,3,0,3,4,0,0,0,0,0,2
 prefoldin complex [GO:0016272],2,1,2,2,3,2,2,2,2,2,2,0,0,0
 UTP biosynthetic process [GO:0006228],1,1,1,1,1,1,1,1,1,1,1,0,1,0
 tRNA aminoacylation [GO:0043039],0,1,1,0,0,1,1,0,1,0,0,0,0,0
 transmembrane transporter activity [GO:0022857],0,1,0,0,2,0,0,0,1,0,13,0,1,10
 ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate [GO:0032194],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 phospho-N-acetylmuramoyl-pentapeptide-transferase activity [GO:0008963],0,2,0,1,1,1,2,1,1,1,1,0,2,3
 exonuclease activity [GO:0004527],2,0,3,2,4,3,1,5,3,1,4,0,1,0
 pentose catabolic process [GO:0019323],0,2,0,0,2,0,0,0,0,0,0,0,0,3
 cytolysis [GO:0019835],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 dimethylallyl diphosphate biosynthetic process [GO:0050992],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 squalene synthase activity [GO:0051996],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 polynucleotide 3'-phosphatase activity [GO:0046403],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 DNA-directed DNA polymerase activity [GO:0003887],3,10,8,3,7,5,5,4,4,3,5,0,7,11
 N-acetyltransferase activity [GO:0008080],1,1,3,1,3,2,0,2,4,1,1,0,0,0
 translational frameshifting [GO:0006452],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 pyrophosphatase activity [GO:0016462],1,2,1,1,1,1,1,1,1,1,1,0,1,1
 integral component of membrane [GO:0016021],2,10,0,2,7,2,2,2,1,4,3,0,14,8
pyridoxal phosphate binding [GO:0030170],7,3,6,0,0,2,4,8,11,4,9,0,5,3
 serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 glutamate dehydrogenase [NAD(P)+] activity [GO:0004353],1,0,0,0,0,0,0,1,1,0,0,0,0,1
cysteine desulfurase activity [GO:0031071],1,0,0,1,0,0,0,0,1,1,0,0,0,2
 histidinol dehydrogenase activity [GO:0004399],0,1,0,0,3,0,0,0,0,0,0,0,0,0
acetate-CoA ligase activity [GO:0003987],3,0,2,0,0,0,1,0,0,1,2,0,1,0
 drug:proton antiporter activity [GO:0015307],0,0,0,0,0,0,0,0,2,0,0,0,0,0
 defense response to bacterium [GO:0042742],0,1,0,0,0,0,0,1,0,0,1,0,1,1
3'-tRNA processing endoribonuclease activity [GO:0042781],0,1,0,1,1,0,1,0,0,1,0,0,0,1
 sym-norspermidine synthase activity [GO:0050314],0,0,0,2,0,0,0,1,0,0,0,0,0,1
 nucleoside-triphosphate diphosphatase activity [GO:0047429],1,2,1,0,1,0,1,1,2,1,1,0,2,4
argininosuccinate lyase activity [GO:0004056],0,0,0,1,0,0,0,0,0,1,0,0,0,1
 DNA catabolic process, endonucleolytic [GO:0000737],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 tyrosine decarboxylase activity [GO:0004837],0,0,0,0,1,1,1,0,0,0,0,0,0,0
 RNA-3'-phosphate cyclase activity [GO:0003963],1,1,1,1,1,1,1,1,1,1,1,0,0,0
 amino acid transmembrane transporter activity [GO:0015171],1,0,2,0,1,1,1,0,0,1,6,0,0,1
 sodium ion export [GO:0071436],0,0,1,0,0,0,0,1,1,0,0,0,0,0
 bacterial-type flagellum-dependent swarming motility [GO:0071978],0,6,0,0,0,0,0,0,0,0,0,0,0,3
fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132],0,1,1,0,2,0,1,0,0,0,0,0,0,0
 beta-glucuronidase activity [GO:0004566],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 tryptophanyl-tRNA aminoacylation [GO:0006436],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 immune response [GO:0006955],0,0,0,0,0,0,0,0,1,1,1,0,0,0
 ATPase-coupled molybdate transmembrane transporter activity [GO:0015412],0,1,1,2,1,0,2,1,1,1,1,0,1,0
 UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity [GO:0051992],0,1,0,0,0,0,1,0,0,0,0,0,1,1
 regulation of nucleic acid-templated transcription [GO:1903506],0,2,0,0,0,0,0,0,0,0,0,0,0,0
5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028],0,0,0,0,0,0,0,1,0,0,1,0,1,0
 base-excision repair [GO:0006284],5,4,3,1,3,3,2,3,3,1,3,0,4,3
isocitrate dehydrogenase (NADP+) activity [GO:0004450],1,1,1,0,0,0,0,1,0,0,1,0,1,1
 guanine phosphoribosyltransferase activity [GO:0052657],0,1,0,0,1,1,1,0,0,0,0,0,0,0
 vesicle membrane [GO:0012506],0,0,0,0,2,2,2,0,0,0,0,0,0,0
coenzyme binding [GO:0050662],0,1,2,0,2,0,0,0,0,0,1,0,0,3
glycerol dehydrogenase [NAD+] activity [GO:0008888],0,0,0,0,0,0,0,0,0,0,0,0,0,1
transketolase activity [GO:0004802],2,0,0,0,1,0,0,0,0,0,0,0,0,1
 positive regulation of translational termination [GO:0045905],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 L-amino acid transmembrane transporter activity [GO:0015179],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 isoleucyl-tRNA aminoacylation [GO:0006428],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 nucleobase-containing compound metabolic process [GO:0006139],1,1,0,1,1,0,1,1,1,1,1,0,1,0
ADP-ribose diphosphatase activity [GO:0047631],2,0,0,1,1,0,0,0,0,0,0,0,0,1
sulfate adenylyltransferase (ATP) activity [GO:0004781],0,0,0,0,0,0,0,2,0,0,1,0,0,0
 GTP 3',8'-cyclase activity [GO:0061798],1,1,1,0,1,1,1,1,1,0,1,0,1,0
 riboflavin reductase (NADH) activity [GO:0052875],0,1,0,0,0,0,0,0,0,0,0,0,0,0
1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 glucan catabolic process [GO:0009251],0,0,0,0,0,0,0,0,0,0,0,0,0,3
guanine deaminase activity [GO:0008892],0,0,0,0,0,0,0,0,0,0,1,0,0,0
cell wall [GO:0005618],0,2,0,0,2,0,1,1,1,0,0,0,0,2
5'-nucleotidase activity [GO:0008253],0,0,0,0,0,0,0,0,0,0,0,0,0,1
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616],1,0,0,0,0,0,0,0,0,1,0,0,0,0
 glycogen (starch) synthase activity [GO:0004373],0,1,0,0,1,0,0,0,0,0,0,0,1,1
 terpenoid biosynthetic process [GO:0016114],0,4,0,0,1,0,0,0,0,0,0,0,6,6
ATPase activity, coupled to transmembrane movement of substances [GO:0042626],0,0,1,0,1,1,0,1,1,0,1,0,0,0
polygalacturonase activity [GO:0004650],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 galactose metabolic process [GO:0006012],0,1,0,0,1,0,0,2,0,0,0,0,1,5
3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) activity [GO:0043807],0,0,0,1,0,0,3,3,4,0,0,0,0,1
iron ion binding [GO:0005506],1,1,9,2,4,1,3,2,2,2,3,0,3,3
 translational initiation [GO:0006413],0,0,0,0,2,0,0,0,0,0,0,0,0,0
 prephenate dehydrogenase (NADP+) activity [GO:0004665],1,1,1,0,1,2,1,1,0,1,1,0,1,1
 dUTP catabolic process [GO:0046081],0,1,0,0,0,0,0,0,0,0,0,0,0,2
 porphyrin-containing compound biosynthetic process [GO:0006779],2,3,4,2,1,2,1,0,0,2,4,1,5,1
S-formylglutathione hydrolase activity [GO:0018738],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 iron ion transport [GO:0006826],0,0,1,0,0,0,0,1,0,0,0,0,0,1
 CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444],0,2,2,0,0,0,0,0,0,0,0,0,2,1
 DNA restriction-modification system [GO:0009307],0,0,3,2,18,0,1,2,2,2,1,0,0,1
 tRNA seleno-modification [GO:0070329],0,0,0,0,0,0,0,0,0,0,0,1,0,0
 nitrite reductase [NAD(P)H] activity [GO:0008942],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 rRNA processing [GO:0006364],4,7,7,5,7,7,4,9,9,3,5,0,6,7
 propionate catabolic process, 2-methylcitrate cycle [GO:0019629],1,0,0,0,0,0,0,0,0,0,1,0,0,0
anthranilate phosphoribosyltransferase activity [GO:0004048],1,2,1,0,1,1,1,1,1,1,1,0,1,0
 vacuolar acidification [GO:0007035],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 UMP salvage [GO:0044206],2,1,0,1,0,0,0,1,1,0,1,0,0,1
 cellular response to DNA damage stimulus [GO:0006974],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 pyrimidine ribonucleotide biosynthetic process [GO:0009220],0,0,0,0,0,0,1,0,0,1,0,0,1,0
 ferredoxin-NADP+ reductase activity [GO:0004324],0,0,0,0,0,0,0,3,0,0,2,0,0,0
 NADH peroxidase activity [GO:0016692],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 medium-chain-(S)-2-hydroxy-acid oxidase activity [GO:0052854],0,0,1,0,0,0,0,0,0,0,0,0,0,0
pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739],2,0,0,0,0,0,0,0,0,0,0,0,0,0
 D-alanine biosynthetic process [GO:0030632],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 tRNA N-acetyltransferase activity [GO:0051392],2,0,1,3,0,1,0,1,1,1,2,0,0,0
formate dehydrogenase complex [GO:0009326],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 oxidative phosphorylation [GO:0006119],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 uridylate kinase activity [GO:0009041],0,1,0,0,1,0,0,0,0,0,0,0,0,0
 antimonite transmembrane transporter activity [GO:0015104],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 acetate-CoA ligase activity [GO:0003987],0,0,0,0,0,0,0,0,0,0,1,0,0,0
single-stranded DNA binding [GO:0003697],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 orotidine-5'-phosphate decarboxylase activity [GO:0004590],0,1,2,0,1,0,1,1,1,0,0,0,0,1
 protein oligomerization [GO:0051259],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810],0,2,0,0,2,1,2,1,1,2,0,0,2,3
 precorrin-8X methylmutase activity [GO:0016993],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 protein homodimerization activity [GO:0042803],0,1,3,0,3,1,0,0,0,0,0,0,0,3
GTP cyclohydrolase I activity [GO:0003934],1,0,0,0,0,0,0,0,0,0,0,0,0,1
 CTP binding [GO:0002135],0,0,0,0,1,0,0,0,0,0,0,0,0,0
acetyl-CoA C-acetyltransferase activity [GO:0003985],1,0,6,0,0,0,0,1,0,0,6,0,0,0
cobinamide phosphate guanylyltransferase activity [GO:0008820],1,0,0,0,1,0,0,0,0,0,0,0,0,0
arginine decarboxylase activity [GO:0008792],1,0,3,1,1,1,1,1,1,1,1,0,0,0
 ATP synthesis coupled electron transport [GO:0042773],1,10,1,2,0,0,0,1,3,1,1,0,9,1
 diaminopimelate biosynthetic process [GO:0019877],0,4,3,0,3,4,3,0,0,0,0,0,3,3
 ATP binding [GO:0005524],58,109,73,54,90,56,64,80,73,59,72,1,96,117
 S-adenosylmethioninamine biosynthetic process [GO:0006557],1,1,1,1,1,0,0,1,1,1,1,0,1,1
 ADP-specific glucokinase activity [GO:0043843],0,0,0,0,1,0,0,1,1,0,0,0,0,0
 solute:proton antiporter activity [GO:0015299],1,3,2,1,3,1,0,4,5,1,3,0,2,0
nitrite reductase [NAD(P)H] activity [GO:0008942],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 homocitrate synthase activity [GO:0004410],0,0,0,0,0,0,0,0,0,0,1,0,0,0
lipid binding [GO:0008289],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 adenylosuccinate synthase activity [GO:0004019],0,1,1,0,1,1,1,1,1,1,1,0,1,1
ribulokinase activity [GO:0008741],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 microtubule-severing ATPase activity [GO:0008568],0,0,0,0,0,0,0,0,0,2,0,0,0,0
2-methylcitrate dehydratase activity [GO:0047547],1,0,0,0,0,0,0,0,0,0,0,0,0,0
 glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567],1,3,1,5,3,1,4,0,0,5,2,0,3,3
 iron-sulfur cluster binding [GO:0051536],15,13,33,21,12,29,34,27,20,29,16,0,16,19
 signal transducer activity [GO:0004871],0,1,1,0,0,0,0,0,5,0,0,0,1,9
bacterial-type flagellum hook [GO:0009424],0,2,0,0,0,0,0,0,0,0,0,0,3,4
diphthine synthase activity [GO:0004164],1,0,1,1,2,1,1,1,1,1,1,0,0,0
 rRNA (uridine-N3-)-methyltransferase activity [GO:0070042],0,1,0,0,0,0,0,0,0,0,0,0,0,1
 galactokinase activity [GO:0004335],0,0,0,0,0,0,0,1,0,0,0,0,0,1
flavin adenine dinucleotide binding [GO:0050660],5,5,4,3,1,2,3,1,1,4,11,0,7,2
 tRNA 2-selenouridine synthase activity [GO:0043828],0,0,0,0,0,0,0,0,0,0,0,1,0,0
isocitrate lyase activity [GO:0004451],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 aspartate-tRNA(Asn) ligase activity [GO:0050560],1,1,1,0,1,1,0,0,0,0,0,0,0,0
 ferrous iron transmembrane transporter activity [GO:0015093],0,1,2,1,1,1,2,1,1,1,0,0,1,1
protein serine/threonine kinase activity [GO:0004674],0,0,0,0,0,1,0,1,0,0,1,1,0,1
 ornithine carbamoyltransferase activity [GO:0004585],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 double-strand break repair via nonhomologous end joining [GO:0006303],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 acetaldehyde dehydrogenase (acetylating) activity [GO:0008774],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 lysine biosynthetic process via diaminopimelate [GO:0009089],3,7,8,1,7,8,7,3,4,3,5,0,6,8
 carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088],0,3,2,2,3,3,2,2,0,2,2,0,3,2
3-deoxy-manno-octulosonate-8-phosphatase activity [GO:0019143],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 protein-malonyllysine demalonylase activity [GO:0036054],1,1,2,1,0,1,0,1,1,1,0,0,1,0
 D-gluconate metabolic process [GO:0019521],0,0,0,0,0,0,0,0,0,0,0,0,0,1
3 iron, 4 sulfur cluster binding [GO:0051538],0,1,0,0,0,0,0,1,1,0,1,0,1,1
 phosphoglucosamine mutase activity [GO:0008966],1,0,1,1,1,1,2,1,1,1,1,0,0,1
 rRNA modification [GO:0000154],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 integral component of plasma membrane [GO:0005887],1,3,3,2,2,1,5,1,1,1,0,0,2,2
 nitrate transmembrane transporter activity [GO:0015112],0,1,0,0,0,0,0,0,0,0,0,0,2,0
 pyruvate carboxylase activity [GO:0004736],0,0,2,0,2,0,2,0,0,0,0,0,3,0
 L-threonylcarbamoyladenylate synthase [GO:0061710],1,0,1,0,1,0,0,2,1,0,1,0,0,1
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 methenyltetrahydrofolate cyclohydrolase activity [GO:0004477],0,1,0,0,0,0,0,0,0,0,0,0,0,0
L-fuculose-phosphate aldolase activity [GO:0008738],0,0,1,1,0,0,0,1,0,0,0,0,0,0
 heme binding [GO:0020037],6,13,7,4,2,0,0,0,0,3,4,2,16,0
 proteasome core complex, alpha-subunit complex [GO:0019773],1,0,1,1,1,1,1,1,1,1,1,0,0,0
ADP-glyceromanno-heptose 6-epimerase activity [GO:0008712],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 phosphorelay signal transduction system [GO:0000160],0,4,9,0,0,0,0,0,1,0,0,0,7,10
 exodeoxyribonuclease VII complex [GO:0009318],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 D-glycero-D-manno-heptose 7-phosphate biosynthetic process [GO:2001061],0,1,0,0,1,0,0,0,0,0,0,0,1,0
 Methanosarcina-phenazine hydrogenase activity [GO:0051911],0,0,1,0,0,0,0,0,0,0,0,0,0,0
cytosolic small ribosomal subunit [GO:0022627],0,10,0,0,14,0,0,0,0,0,0,0,0,7
 protein phosphorylation [GO:0006468],0,0,0,0,0,0,0,0,0,0,0,0,0,1
amino acid binding [GO:0016597],4,4,9,3,6,9,7,4,3,4,3,0,5,3
 periplasmic space [GO:0042597],2,2,0,0,0,0,0,0,0,0,0,0,0,0
phosphoserine phosphatase activity [GO:0004647],1,0,0,0,0,1,1,0,0,0,0,0,0,0
 chaperone-mediated protein complex assembly [GO:0051131],1,0,0,0,1,0,0,0,0,0,0,0,0,0
iron-sulfur cluster binding [GO:0051536],2,5,18,10,4,18,2,4,14,4,6,0,6,5
 hydroxymethylbilane synthase activity [GO:0004418],0,1,0,0,1,0,0,0,0,0,0,0,0,0
 8-hydroxy-5-deazaflavin:NADPH oxidoreductase activity [GO:0102261],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity [GO:0043891],1,0,1,1,1,1,0,1,1,0,0,0,0,0
glutamate dehydrogenase (NAD+) activity [GO:0004352],0,0,0,1,0,0,0,0,0,0,1,0,0,1
 endodeoxyribonuclease activity [GO:0004520],0,1,1,0,1,0,1,1,0,0,0,0,1,1
 histidine-tRNA ligase activity [GO:0004821],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179],1,2,1,1,1,3,1,1,1,1,1,0,1,1
 L-arabinose isomerase activity [GO:0008733],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 aldose 1-epimerase activity [GO:0004034],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 proton-transporting V-type ATPase, V1 domain [GO:0033180],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 glucose binding [GO:0005536],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 metallocarboxypeptidase activity [GO:0004181],0,0,0,0,0,0,0,1,0,0,0,0,0,0
 manganese ion transmembrane transporter activity [GO:0005384],0,0,0,0,0,0,0,0,0,0,0,0,0,1
nitrilase activity [GO:0000257],0,0,0,0,0,0,0,0,1,0,0,0,0,0
 coenzyme A metabolic process [GO:0015936],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 enzyme activator activity [GO:0008047],0,1,0,0,3,0,1,0,0,0,0,0,0,0
 enoyl-CoA hydratase activity [GO:0004300],1,0,2,0,0,0,0,0,0,0,1,0,0,0
transcription, DNA-templated [GO:0006351],1,0,0,1,0,0,0,1,1,0,1,0,0,0
 L-aspartate transmembrane transporter activity [GO:0015183],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 sodium:proton antiporter activity [GO:0015385],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 glycine decarboxylation via glycine cleavage system [GO:0019464],2,6,0,3,0,0,0,2,2,3,4,0,6,4
 acetyl-CoA biosynthetic process [GO:0006085],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 methylthioadenosine nucleosidase activity [GO:0008930],0,0,0,0,0,0,0,0,0,0,0,0,0,1
plasma membrane fumarate reductase complex [GO:0045284],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 tRNA-guanine transglycosylation [GO:0101030],0,1,1,0,0,0,0,0,0,0,0,0,1,1
 endoribonuclease activity [GO:0004521],0,1,0,0,1,0,0,0,0,0,2,0,2,2
 L-aspartate transmembrane transport [GO:0089712],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 rRNA (pseudouridine) methyltransferase activity [GO:0070037],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 wybutosine biosynthetic process [GO:0031591],1,0,1,2,1,1,0,2,2,2,1,0,0,0
 peptidoglycan turnover [GO:0009254],0,0,0,0,0,1,0,0,0,0,0,0,0,1
 L-leucine transaminase activity [GO:0052654],0,1,1,0,1,0,1,0,0,0,0,0,0,1
 response to unfolded protein [GO:0006986],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 triose-phosphate isomerase activity [GO:0004807],1,1,1,1,1,1,1,1,1,1,1,0,1,1
tricarboxylic acid cycle enzyme complex [GO:0045239],1,0,0,0,0,0,0,0,0,0,1,0,0,0
glutamine-scyllo-inositol transaminase activity [GO:0047310],0,0,0,0,0,0,0,0,0,1,0,0,0,0
 NAD+ kinase activity [GO:0003951],1,1,1,1,1,1,1,1,1,0,0,0,1,1
cytidine deaminase activity [GO:0004126],1,0,0,1,0,0,0,0,0,0,0,0,0,0
 adenylate kinase activity [GO:0004017],1,1,1,1,1,1,1,2,2,1,1,0,1,1
 phospholipase C activity [GO:0004629],0,0,0,0,0,0,1,0,0,0,0,0,0,1
 CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:0003882],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 deoxyribose-phosphate aldolase activity [GO:0004139],1,1,0,1,0,0,0,0,0,1,0,0,1,1
 dUTP metabolic process [GO:0046080],1,1,1,1,1,1,1,0,0,1,1,0,1,0
tRNA processing [GO:0008033],1,0,1,0,1,4,0,0,0,1,1,0,0,1
dihydrolipoyl dehydrogenase activity [GO:0004148],0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4-alpha-glucan branching enzyme activity [GO:0003844],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances [GO:0016820],4,0,1,1,0,0,0,2,1,1,2,0,0,1
protein-glutamine glutaminase activity [GO:0050568],0,0,1,0,0,0,0,0,1,0,0,0,0,0
molybdenum-iron nitrogenase complex [GO:0016612],0,0,0,0,1,1,1,0,0,0,0,0,0,0
inosine kinase activity [GO:0008906],0,0,1,0,0,0,1,0,0,0,0,0,0,0
 glutamate-tRNA ligase activity [GO:0004818],1,1,1,1,1,1,1,1,1,1,1,0,1,2
cell surface [GO:0009986],1,1,1,1,1,1,1,1,1,1,1,0,1,3
defense response to virus [GO:0051607],0,0,1,0,9,0,0,0,0,0,0,0,0,0
 glutamine catabolic process [GO:0006543],0,0,0,0,0,0,1,0,0,1,0,0,0,1
 AMP salvage [GO:0044209],0,1,1,0,0,0,0,1,1,0,0,0,0,2
 DNA replication initiation [GO:0006270],0,2,0,0,1,0,0,0,0,0,0,0,1,2
 oxalate decarboxylase activity [GO:0046564],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404],0,0,0,0,1,0,0,1,1,0,0,0,0,0
 'de novo' L-methionine biosynthetic process [GO:0071266],0,0,0,0,0,1,1,0,0,0,0,0,1,1
 DNA ligase activity [GO:0003909],0,1,0,0,0,0,0,0,0,0,0,0,0,0
phospholipase C activity [GO:0004629],0,0,0,0,0,0,1,0,0,0,0,0,0,0
 protein serine/threonine/tyrosine kinase activity [GO:0004712],0,0,0,0,0,0,1,0,0,0,0,0,0,0
carboxypeptidase activity [GO:0004180],0,0,0,0,0,1,0,0,0,0,0,0,0,1
 pentose-phosphate shunt, non-oxidative branch [GO:0009052],1,1,1,1,2,1,1,1,1,1,1,0,0,1
 alcohol dehydrogenase (NAD) activity [GO:0004022],0,1,0,0,0,0,0,0,0,0,0,0,0,2
 nitric oxide dioxygenase activity [GO:0008941],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 UDP-N-acetylmuramate dehydrogenase activity [GO:0008762],0,2,0,0,0,0,0,0,0,0,0,0,1,1
shikimate 3-dehydrogenase (NADP+) activity [GO:0004764],1,0,0,0,0,0,0,0,0,0,1,0,0,0
glycogen (starch) synthase activity [GO:0004373],0,0,0,0,0,0,0,0,1,0,0,0,0,0
 biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077],0,1,0,0,1,0,0,0,0,0,0,0,0,0
 CoA-disulfide reductase activity [GO:0050451],0,0,0,0,0,0,0,1,1,0,0,0,0,0
 guanylate kinase activity [GO:0004385],0,0,0,0,0,0,0,0,0,0,0,0,1,1
 inorganic anion transmembrane transporter activity [GO:0015103],0,0,1,0,0,0,1,1,0,1,0,0,1,1
 chorismate metabolic process [GO:0046417],1,1,1,0,1,0,0,0,0,1,1,0,1,1
 agmatine aminopropyltransferase activity [GO:0043919],0,0,0,0,0,0,0,1,0,0,0,0,0,1
response to desiccation [GO:0009269],0,0,2,0,0,0,0,0,0,0,0,0,0,0
 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811],1,0,0,0,1,0,1,1,1,1,1,0,0,0
 excinuclease repair complex [GO:0009380],0,2,0,0,0,0,0,0,0,0,0,0,3,2
 proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261],0,5,0,0,0,0,0,0,0,0,0,0,5,5
 folic acid biosynthetic process [GO:0046656],0,1,0,0,0,0,0,0,0,0,0,0,0,0
glutaconate CoA-transferase activity [GO:0018730],0,0,1,0,0,0,0,0,0,0,0,0,0,0
tRNA adenylyltransferase activity [GO:0004810],0,0,0,0,0,2,0,2,2,1,0,0,0,0
 selenocysteine biosynthetic process [GO:0016260],0,1,0,0,1,1,0,0,0,1,1,0,1,0
 transcription regulatory region DNA binding [GO:0044212],0,1,0,0,1,0,0,0,0,0,0,0,0,2
 asparaginyl-tRNA aminoacylation [GO:0006421],0,0,0,0,0,0,0,1,1,0,0,0,0,0
 glycerol metabolic process [GO:0006071],0,1,0,0,0,0,0,1,1,0,2,0,0,1
 coenzyme biosynthetic process [GO:0009108],0,3,1,0,7,1,5,0,0,0,0,0,0,0
